unitid,source,bucket,canonical_title,supporting_raw_titles,program_conf_max,program_conf_reasons
100751,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
102094,crawl,black,African American Studies,"African American Studies|African American Studies, Minor",70,bare_studies_name|bucket_match:black|strong_token|bucket_match:black
104151,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
104179,crawl,africana,Africana Studies,Africana Studies,90,bare_studies_name|anchor_phrase|bucket_match:africana
104179,crawl,mena,Middle Eastern and North African Studies,Middle Eastern and North African Studies,100,bare_studies_name|anchor_phrase|compound_anchor|bucket_match:mena
104179,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
106397,crawl,black,African and African American Studies,"African and African American Studies|African and African American Studies , Graduate Certificate (AASTGC)|African and African American Studies , Second or dependent major",100,bare_studies_name|anchor_phrase|compound_anchor|bucket_match:black|strong_token|anchor_phrase|compound_anchor|bucket_match:black
110422,crawl,ethnic,Comparative Ethnic Studies,Comparative Ethnic Studies (BA),70,degree_token|anchor_phrase|bucket_match:ethnic
110422,crawl,ethnic,Ethnic Studies,Ethnic Studies|Ethnic Studies Minor,90,bare_studies_name|anchor_phrase|bucket_match:ethnic|strong_token|anchor_phrase|bucket_match:ethnic
110422,crawl,race,"Gender, Race, Culture, Science and Technology","Gender, Race, Culture, Science and Technology Minor",70,strong_token|bucket_match:race
110422,cv,minority,"Ethnic, Cultural Minority, and Gender Studies, Other","Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
110495,crawl,ethnic,Ethnic Studies,Ethnic Studies,90,bare_studies_name|anchor_phrase|bucket_match:ethnic
110495,crawl,ethnic,Ethnic Studies (Concentration),"Ethnic Studies is offered as a major, minor, and concentration.",100,strong_token|anchor_phrase|compound_anchor|bucket_match:ethnic
110495,crawl,ethnic,Ethnic Studies (Major),"Ethnic Studies is offered as a major, minor, and concentration.",100,strong_token|anchor_phrase|compound_anchor|bucket_match:ethnic
110495,crawl,ethnic,Ethnic Studies (Minor),"Ethnic Studies is offered as a major, minor, and concentration.",100,strong_token|anchor_phrase|compound_anchor|bucket_match:ethnic
110529,cv,minority,"Ethnic, Cultural Minority, and Gender Studies, Other","Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
110538,crawl,african,African Studies,African Studies Minor,90,strong_token|anchor_phrase|bucket_match:african
110538,crawl,black,African American Studies,African American Studies Minor,70,strong_token|bucket_match:black
110538,crawl,ethnic,"Race, Ethnicity, and Sovereignty GE","Race, Ethnicity, and Sovereignty GE Minor",70,strong_token|bucket_match:ethnic
110547,crawl,africana,Africana Studies,Africana Studies,90,bare_studies_name|anchor_phrase|bucket_match:africana
110565,crawl,black,African American Studies,African American Studies,70,bare_studies_name|bucket_match:black
110565,cv,minority,"Ethnic, Cultural Minority, and Gender Studies, Other","Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
110574,crawl,ethnic,Ethnic Studies,Ethnic Studies,90,bare_studies_name|anchor_phrase|bucket_match:ethnic
110583,crawl,africana,Africana Studies,Africana Studies,90,bare_studies_name|anchor_phrase|bucket_match:africana
110592,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
110592,cv,minority,"Ethnic, Cultural Minority, and Gender Studies, Other","Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
110608,crawl,african,"Africa, Interdisciplinary Studies","Africa, Interdisciplinary Studies",70,bare_studies_name|bucket_match:african
110608,crawl,africana,Africana Studies,Africana Studies,90,bare_studies_name|anchor_phrase|bucket_match:africana
110608,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
110608,cv,minority,"Ethnic, Cultural Minority, and Gender Studies, Other","Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
110617,crawl,african,African Studies,African Studies,90,bare_studies_name|anchor_phrase|bucket_match:african
110617,crawl,african,Certificate in African Studies,Certificate in African Studies,100,strong_token|bare_studies_name|anchor_phrase|bucket_match:african
110617,crawl,african,Minor in African Studies,Minor in African Studies,100,strong_token|bare_studies_name|anchor_phrase|bucket_match:african
110617,crawl,africana,Certificate in Pan African Studies,Certificate in Pan African Studies,100,strong_token|bare_studies_name|anchor_phrase|bucket_match:africana
110617,crawl,africana,Ethnic Studies (Pan African Studies),BA in Ethnic Studies (Pan African Studies),100,degree_token|degree_phrase|anchor_phrase|bucket_match:africana
110617,crawl,africana,Minor in Pan African Studies,Minor in Pan African Studies,100,strong_token|bare_studies_name|anchor_phrase|bucket_match:africana
110617,crawl,africana,Pan African Studies,Pan African Studies,90,bare_studies_name|anchor_phrase|bucket_match:africana
110617,crawl,black,African American Studies,African American Studies,70,bare_studies_name|bucket_match:black
110617,crawl,ethnic,"Education, Equity and Social Justice (Ethnicity and Race)","MA in Education, Equity and Social Justice (Ethnicity and Race)",100,degree_token|degree_phrase|bucket_match:ethnic
110617,crawl,ethnic,Ethnic Studies,BA in Ethnic Studies (General)|BA in Ethnic Studies (Teachers in Bilingual Education)|BA in Ethnic Studies (Teachers in Urban Settings)|Ethnic Studies|Ethnic Studies College of Social Sciences and Interdisciplinary Studies|MA in Ethnic Studies|Master of Arts in Ethnic Studies,100,anchor_phrase|compound_anchor|bucket_match:ethnic|bare_studies_name|anchor_phrase|bucket_match:ethnic|degree_phrase|bare_studies_name|anchor_phrase|bucket_match:ethnic|degree_token|degree_phrase|anchor_phrase|bucket_match:ethnic|degree_token|degree_phrase|bare_studies_name|anchor_phrase|bucket_match:ethnic
110617,crawl,ethnic,Ethnic Studies (Asian American Studies),BA in Ethnic Studies (Asian American Studies),100,degree_token|degree_phrase|anchor_phrase|bucket_match:ethnic
110617,crawl,ethnic,Ethnic Studies (Chicanx/​Latinx Studies),BA in Ethnic Studies (Chicanx/​Latinx Studies),100,degree_token|degree_phrase|anchor_phrase|bucket_match:ethnic
110617,crawl,ethnic,Ethnic Studies (Native-​American Studies),BA in Ethnic Studies (Native-​American Studies),100,degree_token|degree_phrase|anchor_phrase|bucket_match:ethnic
110617,crawl,ethnic,General Ethnic Studies,General Ethnic Studies,90,bare_studies_name|anchor_phrase|bucket_match:ethnic
110617,crawl,ethnic,Minor in Ethnic Studies,Minor in Ethnic Studies,100,strong_token|bare_studies_name|anchor_phrase|bucket_match:ethnic
110635,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
110635,cv,ethnic,Ethnic Studies,Ethnic Studies,100,bare_studies_name|anchor_phrase|bucket_match:ethnic|cv_bonus
110644,crawl,black,African American and African Studies,African American and African Studies,100,bare_studies_name|anchor_phrase|compound_anchor|bucket_match:black
110644,crawl,ethnic,Ethnic and Area Studies,Ethnic and Area Studies,70,bare_studies_name|bucket_match:ethnic
110644,crawl,ethnic,Ethnic studies,Ethnic studies,90,bare_studies_name|anchor_phrase|bucket_match:ethnic
110644,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
110644,cv,minority,"Ethnic, Cultural Minority, and Gender Studies, Other","Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
110653,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
110653,cv,minority,"Ethnic, Cultural Minority, and Gender Studies, Other","Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
110662,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
110662,cv,minority,"Ethnic, Cultural Minority, and Gender Studies, Other","Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
110671,crawl,black,African American Studies,African American Studies,70,bare_studies_name|bucket_match:black
110671,crawl,ethnic,Ethnic Studies,Ethnic Studies,90,bare_studies_name|anchor_phrase|bucket_match:ethnic
110671,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
110671,cv,minority,"Ethnic, Cultural Minority, and Gender Studies, Other","Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
110680,cv,minority,"Ethnic, Cultural Minority, and Gender Studies, Other","Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
110705,crawl,black,Black Studies,Black Studies,90,bare_studies_name|anchor_phrase|bucket_match:black
110705,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
115755,crawl,ethnic,Comparative Ethnic Studies Minor,Comparative Ethnic Studies Minor Minor,90,strong_token|anchor_phrase|bucket_match:ethnic
115755,crawl,ethnic,Ethnic American Literatures Minor,Ethnic American Literatures Minor Minor,70,strong_token|bucket_match:ethnic
115755,crawl,race,"Critical Race, Gender and Sexuality Studies","Critical Race, Gender and Sexuality Studies",70,bare_studies_name|bucket_match:race
115755,cv,minority,"Ethnic, Cultural Minority, and Gender Studies, Other","Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
117946,crawl,black,African American Studies,African American Studies|African American Studies Minor,70,bare_studies_name|bucket_match:black|strong_token|bucket_match:black
117946,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
120883,crawl,ethnic,Ethnic Studies,Ethnic Studies|Ethnic Studies - Minor|Ethnic Studies Minor|Ethnic Studies Program,90,bare_studies_name|anchor_phrase|bucket_match:ethnic|strong_token|anchor_phrase|bucket_match:ethnic
122409,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
122409,cv,minority,"Ethnic, Cultural Minority, and Gender Studies, Other","Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
122597,crawl,african,Minor in African Studies,Minor in African Studies,100,strong_token|bare_studies_name|anchor_phrase|bucket_match:african
122597,crawl,africana,Africana Studies,Africana Studies|Bachelor of Arts in Africana Studies,100,bare_studies_name|anchor_phrase|bucket_match:africana|degree_phrase|bare_studies_name|anchor_phrase|bucket_match:africana
122597,crawl,africana,Africana Studies BA + Ethnic Studies MA SF State Scholars Roadmap,Africana Studies BA + Ethnic Studies MA SF State Scholars Roadmap,70,degree_token|anchor_phrase|bucket_match:africana
122597,crawl,africana,Minor in Africana Studies,Minor in Africana Studies,100,strong_token|bare_studies_name|anchor_phrase|bucket_match:africana
122597,crawl,ethnic,Asian American Studies BA + Ethnic Studies MA SF State Scholars Roadmap,Asian American Studies BA + Ethnic Studies MA SF State Scholars Roadmap,70,degree_token|anchor_phrase|bucket_match:ethnic
122597,crawl,ethnic,Certificate in Ethnic Studies,Certificate in Ethnic Studies,100,strong_token|bare_studies_name|anchor_phrase|bucket_match:ethnic
122597,crawl,ethnic,College of Ethnic Studies,College of Ethnic Studies,90,bare_studies_name|anchor_phrase|bucket_match:ethnic
122597,crawl,ethnic,Ethnic Studies,Ethnic Studies|Master of Arts in Ethnic Studies|Minor in Queer and Trans Ethnic Studies|Race and Resistance Studies BA + Ethnic Studies MA SF State Scholars Roadmap,100,bare_studies_name|anchor_phrase|bucket_match:ethnic|degree_phrase|bare_studies_name|anchor_phrase|bucket_match:ethnic|degree_token|anchor_phrase|compound_anchor|bucket_match:ethnic|strong_token|anchor_phrase|compound_anchor|bucket_match:ethnic
122597,crawl,ethnic,Ethnic Studies Empowerment Certificate,Ethnic Studies Empowerment Certificate,90,strong_token|anchor_phrase|bucket_match:ethnic
122597,crawl,ethnic,Latina/​Latino Studies BA + Ethnic Studies MA SF State Scholars Roadmap,Latina/​Latino Studies BA + Ethnic Studies MA SF State Scholars Roadmap,70,degree_token|anchor_phrase|bucket_match:ethnic
122597,crawl,race,Critical Mixed Race Studies,Critical Mixed Race Studies,70,bare_studies_name|bucket_match:race
122597,crawl,race,Minor in Race and Resistance Studies,Minor in Race and Resistance Studies,100,strong_token|bare_studies_name|bucket_match:race
122597,crawl,race,Race and Resistance Studies,Bachelor of Arts in Race and Resistance Studies|Race and Resistance Studies,70,bare_studies_name|bucket_match:race|degree_phrase|bucket_match:race
122612,crawl,african,African Studies,"African Studies, Minor",90,strong_token|anchor_phrase|bucket_match:african
122612,crawl,black,African American Studies,"African American Studies, Minor",70,strong_token|bucket_match:black
122755,crawl,african,African Studies,African Studies Minor,90,strong_token|anchor_phrase|bucket_match:african
122755,crawl,black,African American Studies,African American Studies|African American Studies Minor,70,bare_studies_name|bucket_match:black|strong_token|bucket_match:black
122755,crawl,race,Race and Ethnic Studies,"Sociology, Race and Ethnic Studies Concentration,",100,strong_token|anchor_phrase|compound_anchor|bucket_match:race
122755,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
122931,cv,ethnic,Ethnic Studies,Ethnic Studies,100,bare_studies_name|anchor_phrase|bucket_match:ethnic|cv_bonus
123165,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
123554,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
123554,cv,ethnic,Ethnic Studies,Ethnic Studies,100,bare_studies_name|anchor_phrase|bucket_match:ethnic|cv_bonus
123554,cv,minority,"Ethnic, Cultural Minority, and Gender Studies, Other","Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
123572,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
123572,cv,minority,"Ethnic, Cultural Minority, and Gender Studies, Other","Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
126562,crawl,ethnic,Ethnic Studies,Bachelor of Arts in Ethnic Studies,100,degree_phrase|bare_studies_name|anchor_phrase|bucket_match:ethnic
126614,cv,ethnic,Ethnic Studies,Ethnic Studies,100,bare_studies_name|anchor_phrase|bucket_match:ethnic|cv_bonus
126678,crawl,african,African Studies,African Studies,90,bare_studies_name|anchor_phrase|bucket_match:african
126678,crawl,black,African-American Studies,African-American Studies,70,bare_studies_name|bucket_match:black
126678,crawl,ethnic,"Race, Ethnicity, and Migration Studies","Race, Ethnicity, and Migration Studies",70,bare_studies_name|bucket_match:ethnic
126678,cv,ethnic,Ethnic Studies,Ethnic Studies,100,bare_studies_name|anchor_phrase|bucket_match:ethnic|cv_bonus
126818,crawl,ethnic,Ethnic Studies,"Ethnic Studies|Race, Gender, and Ethnic Studies",100,bare_studies_name|anchor_phrase|bucket_match:ethnic|bare_studies_name|anchor_phrase|compound_anchor|bucket_match:ethnic
126818,crawl,ethnic,"Ethnic Studies, Plan A","Master of Arts in Ethnic Studies, Plan A",90,degree_phrase|anchor_phrase|bucket_match:ethnic
126818,crawl,ethnic,"Ethnic Studies, Plan B","Master of Arts in Ethnic Studies, Plan B",90,degree_phrase|anchor_phrase|bucket_match:ethnic
126818,crawl,race,"Global Race, Power, and Resistance Concentration","Global Race, Power, and Resistance Concentration",70,strong_token|bucket_match:race
126818,cv,minority,"Ethnic, Cultural Minority, and Gender Studies, Other","Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
127565,crawl,africana,Africana Studies,Africana Studies Minor,90,strong_token|anchor_phrase|bucket_match:africana
127565,crawl,africana,Africana Studies Degree,Africana Studies Degree,90,strong_token|anchor_phrase|bucket_match:africana
127565,crawl,africana,"Africana Studies Major, B.A.","Africana Studies Major, B.A.",100,strong_token|degree_token|anchor_phrase|bucket_match:africana
127565,crawl,africana,Africana Studies Minor,Africana Studies Minor Minor,90,strong_token|anchor_phrase|bucket_match:africana
127565,crawl,africana,Explore Africana Studies Degree,Explore Africana Studies Degree,90,strong_token|anchor_phrase|bucket_match:africana
127741,crawl,africana,Africana Studies,Africana Studies|Africana Studies BA Major BA Format In-Person Location Greeley|Africana Studies Minor,90,bare_studies_name|anchor_phrase|bucket_match:africana|strong_token|anchor_phrase|bucket_match:africana|strong_token|degree_token|anchor_phrase|bucket_match:africana|profile_dash
127741,crawl,africana,Foundations of Africana Studies,Foundations of Africana Studies,90,bare_studies_name|anchor_phrase|bucket_match:africana
127741,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
128771,crawl,african,African Studies,"African Studies|African Studies, Minor",90,bare_studies_name|anchor_phrase|bucket_match:african|strong_token|anchor_phrase|bucket_match:african
128771,crawl,african,Concentration in African Studies,Concentration in African Studies,100,strong_token|bare_studies_name|anchor_phrase|bucket_match:african
128771,crawl,black,African-American Studies,"African-American Studies|African-American Studies, Minor",70,bare_studies_name|bucket_match:black|strong_token|bucket_match:black
128771,crawl,race,Racial Justice Certificate,Racial Justice Certificate,70,strong_token|bucket_match:race
129020,crawl,african,African Studies,African Studies Minor,90,strong_token|anchor_phrase|bucket_match:african
129020,crawl,africana,Africana Studies,Africana Studies (BA)|Africana Studies Minor,90,degree_token|anchor_phrase|bucket_match:africana|strong_token|anchor_phrase|bucket_match:africana
129020,crawl,ethnic,"Intersectional Indigeneity, Race, Ethnicity, and Politics","Intersectional Indigeneity, Race, Ethnicity, and Politics (Graduate Certificate)",70,strong_token|bucket_match:ethnic
129020,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
129242,crawl,black,Black Studies,Black Studies|Black Studies MInor,90,bare_studies_name|anchor_phrase|bucket_match:black|strong_token|anchor_phrase|bucket_match:black
130493,crawl,africana,Link to Minor in Africana Studies,Link to Minor in Africana Studies,100,strong_token|bare_studies_name|anchor_phrase|bucket_match:africana
130493,crawl,ethnic,Link to Minor in Ethnic Studies,Link to Minor in Ethnic Studies,100,strong_token|bare_studies_name|anchor_phrase|bucket_match:ethnic
130493,crawl,race,Link to Minor in Racial and Intersectional Justice Studies,Link to Minor in Racial and Intersectional Justice Studies,70,strong_token|bucket_match:race
130794,crawl,african,African Studies,African Studies,90,bare_studies_name|anchor_phrase|bucket_match:african
130794,crawl,black,Black Studies,Black Studies,90,bare_studies_name|anchor_phrase|bucket_match:black
130794,cv,african,African Studies,African Studies,100,bare_studies_name|anchor_phrase|bucket_match:african|cv_bonus
130794,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
130794,cv,minority,"Ethnic, Cultural Minority, and Gender Studies, Other","Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
130943,crawl,africana,Africana Studies,Africana Studies,90,bare_studies_name|anchor_phrase|bucket_match:africana
130943,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
131469,cv,african,African Studies,African Studies,100,bare_studies_name|anchor_phrase|bucket_match:african|cv_bonus
131520,crawl,african,African Studies,"African Studies|African Studies (B.A.)|African Studies (MA, PhD)|African Studies (Ph.D.)",90,bare_studies_name|anchor_phrase|bucket_match:african|degree_token|anchor_phrase|bucket_match:african
131520,crawl,black,Afro-American Studies,Afro-American Studies,70,bare_studies_name|bucket_match:black
131520,cv,african,African Studies,African Studies,100,bare_studies_name|anchor_phrase|bucket_match:african|cv_bonus
131520,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
134097,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
134130,crawl,black,African American Studies,African American Studies Program,70,strong_token|bucket_match:black
134130,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
135726,crawl,africana,Africana Studies,Africana Studies,90,bare_studies_name|anchor_phrase|bucket_match:africana
136950,crawl,black,African and African American Studies,African and African American Studies|African and African American Studies Minor|African and African American Studies Program,100,bare_studies_name|anchor_phrase|compound_anchor|bucket_match:black|strong_token|anchor_phrase|compound_anchor|bucket_match:black
136950,crawl,black,Dive into African and African-American Studies,Dive into African and African-American Studies,70,bare_studies_name|bucket_match:black
136950,crawl,mena,Middle Eastern and North African Studies,Middle Eastern and North African Studies|Middle Eastern and North African Studies Minor,100,bare_studies_name|anchor_phrase|compound_anchor|bucket_match:mena|strong_token|anchor_phrase|compound_anchor|bucket_match:mena
137351,crawl,africana,Africana Studies,Africana Studies Minor,90,strong_token|anchor_phrase|bucket_match:africana
137351,crawl,africana,Africana Studies B.A.,Africana Studies B.A.,70,degree_token|anchor_phrase|bucket_match:africana
137351,crawl,africana,"Interdisciplinary Social Sciences B.A., with Africana Studies Concentration","Interdisciplinary Social Sciences B.A., with Africana Studies Concentration",100,strong_token|degree_token|anchor_phrase|bucket_match:africana
138600,cv,african,African Studies,African Studies,100,bare_studies_name|anchor_phrase|bucket_match:african|cv_bonus
138947,crawl,africana,Africana Women's Studies,Africana Women's Studies,70,bare_studies_name|bucket_match:africana
138947,crawl,black,African American Studies,African American Studies,70,bare_studies_name|bucket_match:black
139658,crawl,african,African Studies,African Studies,90,bare_studies_name|anchor_phrase|bucket_match:african
139658,crawl,black,African American Studies,African American Studies,70,bare_studies_name|bucket_match:black
139658,cv,african,African Studies,African Studies,100,bare_studies_name|anchor_phrase|bucket_match:african|cv_bonus
139658,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
139940,crawl,africana,"Africana Studies, B.A.","Africana Studies, B.A.",70,degree_token|anchor_phrase|bucket_match:africana
